uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0904,24.999031,118.791502,,3,Grinding,Wet,59773.05205911273,45688.137112132055,88895.22255398917,0.0,0.0,0.0
CHN0905,18.937759,109.539782,,3,Grinding,Wet,18031.69306706454,11156.460459315977,36644.713984370814,0.0,0.0,0.0
CHN0906,22.368946,111.957002,,3,Integrated,Dry,165811.2018763005,149007.6934028061,265800.68918826885,251.9356223693069,219.5294719232098,344.9647065685999
CHN0907,25.277299,117.394263,,3,Integrated,Dry,111941.57183204406,127211.7688021854,149913.16512033565,290.08601347693576,279.0794135537471,312.9992097124735
CHN0908,26.669196,100.19484,,3,Integrated,Dry,253462.0598005196,246834.65431517808,272475.621898561,546.713582333056,564.5891930944558,635.7441131750898
CHN0909,27.520101,106.553859,,3,Integrated,Dry,264175.8727761346,299995.46126152226,445778.2708757723,441.5594947386449,443.4247162043726,474.5263972527781
CHN0910,30.189608,107.981388,,3,Integrated,Dry,254629.380533593,317769.651119121,334444.54442358436,914.8292534978233,911.584716006379,1008.5350761411974
CHN0911,29.948981,106.362761,,3,Integrated,Dry,74523.60720002819,74471.11308179231,133964.26739733652,235.17737759691997,239.25900970116078,256.6024158804417
CHN0912,22.366812,107.297175,,3,Integrated,Dry,301332.10759508447,297457.8800234113,312570.37109697773,484.05644854820804,492.0827909584385,505.0791729433158
CHN0913,30.148734,121.214294,0.5,3,Grinding,Wet,27357.035865507165,23814.61803413968,35758.98136982957,0.0,0.0,0.0
CHN0914,38.99362,121.538109,,3,Integrated,Dry,358945.48542357754,142572.08770220686,856689.9560389032,210.48569854300547,213.86440510989522,233.94269572966422
CHN0915,40.255925,124.204101,,3,Grinding,Wet,102726.91975647354,94544.37910863038,119492.97094058836,0.0,0.0,0.0
CHN0916,40.170211,124.384907,,3,Grinding,Wet,101334.77878249605,114243.09392626799,145622.2664300831,0.0,0.0,0.0
CHN0917,39.983322,113.115851,,3,Integrated,Dry,351113.6022239222,362732.7420404068,547502.2107272708,768.9833856167832,759.3839852501284,901.2941471537424
CHN0918,32.658557,112.038596,,3,Grinding,Wet,90460.90051883075,107831.04554229823,113488.01620391163,0.0,0.0,0.0
CHN0919,30.633487,120.234028,0.5,3,Grinding,Wet,26558.40048217096,30040.764931331112,37997.65995852408,0.0,0.0,0.0
CHN0920,30.581061,120.189699,2.6,3,Grinding,Wet,48390.1037764927,38746.32327585728,68679.87899229262,69.38449149946588,0.0,208.15347449839766
CHN0921,30.559768,120.09114,1.65,3,Grinding,Wet,85841.3103327757,106261.41422257552,138777.09188551872,45.20621994785042,0.0,135.61865984355126
CHN0922,30.593294,120.232341,,3,Integrated,Dry,60731.206045174804,46861.016513800074,98651.3414875019,213.5541073427411,212.43466827542522,229.35123671642293
CHN0923,36.311173,116.339123,,3,Integrated,Dry,123029.56255072489,130322.92142418725,175183.86592946987,297.77111350384365,278.60687711308964,346.4748430168272
CHN0924,29.936659,119.819031,,3,Integrated,Dry,165248.1350790414,178245.96187035934,244517.63435981647,268.70355994786354,319.7134983898148,359.93107091848947
CHN0925,29.875153,119.742454,1.5,3,Integrated,Dry,710477.7818031419,442722.38446233055,1365728.7028237018,328.9766268627573,338.01822471853956,386.03356103746455
CHN0926,28.03891,116.270105,,3,Grinding,Wet,100036.60816295026,99723.88233808652,101907.77447573148,0.0,0.0,0.0
CHN0927,25.45623,114.889669,2.92,3,Integrated,Dry,686857.5587871134,478879.1828247001,1382087.9093267557,924.6000943528016,910.9089403300625,1022.5114477609842
CHN0928,30.86526,111.640576,,3,Integrated,Dry,1001321.8354349928,619627.5463444688,2121730.046078319,582.3593640501042,472.75196420299,810.4817844021502
CHN0929,30.669911,113.928119,,3,Grinding,Wet,34975.618170496884,24443.974906761498,56176.76012720096,0.0,0.0,0.0
CHN0930,32.461163,111.658317,,3,Integrated,Dry,404743.1857980945,339506.4228140741,587217.1728361727,387.6038862322156,401.82301429274116,443.50255002684844
CHN0931,30.188967,112.604904,,2,Grinding,Wet,511226.1144067357,511226.1144067357,961906.5504919016,0.0,0.0,0.0
CHN0932,29.626508,111.307999,,3,Integrated,Dry,277639.39709248726,278407.1983534152,298703.65861927706,455.54891124120076,444.2604352905354,540.1039333046797
CHN0933,30.077065,111.500255,,3,Integrated,Dry,452541.9963712655,432140.0630808951,584077.6548052663,321.1328543389402,339.7841748266848,355.1513233697361
CHN0934,31.178855,110.74609,,3,Integrated,Dry,630556.0813462172,766952.2848421426,958466.5424358281,263.55149823363644,248.75992008518648,319.90423830583927
CHN0935,31.274959,112.272753,,3,Integrated,Dry,590739.534778701,714498.7583117543,747485.218306797,744.6689376249392,664.6473064355752,1015.02784989683
CHN0936,31.077059,119.578067,,3,Integrated,Dry,399736.1970083072,195191.41535361385,828339.568045619,182.56464220366985,157.79284528231395,245.37310253194755
CHN0937,39.818388,114.367697,,3,Integrated,Dry,411779.0911770422,412662.92749952193,478395.2707477255,207.58942280568417,242.53984662854523,279.84969304976875
CHN0938,36.975854,118.350178,,3,Grinding,Wet,241644.08301876308,227085.48451812807,411110.83786466013,0.0,0.0,0.0
CHN0939,22.701734,109.813109,,3,Integrated,Dry,389429.6555816322,374673.722648291,450941.8567130863,368.7626231392139,281.79952934805294,548.647400529129
